,Large Individual Contributions,Small Individual Contributions (< $200),PAC Contributions,Other,Candidate self-financing,Labor,Business,Ideological
Lisa Murkowski,0.512536384782581,0.023593704320414882,0.4520046585232545,0.011865252373749571,0.0,0.04687427951789422,0.802211610957527,0.15091410952457876
Tom O'Halleran,0.5043107084034397,0.08763738255798295,0.40647923298098876,0.001572676057588578,0.0,0.1883448726870748,0.43709418064507893,0.3745609466678463
Martha McSally,0.5327201247213992,0.29315449593186355,0.058812251072495235,0.11531312827424202,0.0,0.009393218400959429,0.6248049003151044,0.36580188128393615
Raul M Grijalva,0.3438485216733351,0.26047697387276875,0.40626755477088516,-0.010593050316989006,0.0,0.5805860805860806,0.3241758241758242,0.09523809523809523
Paul Gosar,0.48850352756187887,0.1361283715284722,0.36241129371521574,0.012956807194433142,0.0,0.0,0.8801258727505162,0.11987412724948372
Andy Biggs,0.509376319311945,0.03133621550152672,0.5096054091380658,-0.050317943951537686,0.0,0.02755374601281087,0.8560754389149658,0.11637081507222323
David Schweikert,0.2718322606781563,0.016047908735474483,0.5500833176774838,0.1620365129088854,0.0,0.0027262486491437944,0.9161831210312635,0.08109063031959268
Ruben Gallego,0.3520948450315235,0.10532461284661696,0.5430664924127481,-0.00048595029088848075,0.0,0.3117119641356122,0.5625525357242925,0.12573550014009527
Debbie Lesko,0.4368336524502877,0.26291989601770976,0.2620850474817091,0.0373395774152009,0.0008218266350925761,0.020787270631366102,0.5402800612279608,0.4389326681406731
Trent Franks,0.3706636271089107,0.01927276840484125,0.8113704983076508,-0.20130689382140277,0.0,0.04361370716510903,0.7881619937694704,0.16822429906542055
Kyrsten Sinema,0.5924289061435674,0.2496702727775331,0.11592864953388582,0.04197217154501374,0.0,0.11269563163807189,0.5654476390165442,0.321856729345384
John McCain,0.5794100655671938,0.06440353425935888,0.159731973076738,0.19645442709670932,0.0,0.005870354573931923,0.706831783183421,0.28729786224264703
Jeff Flake,0.6327478657367467,0.03942206481518396,0.5444624648742048,-0.21663239542613544,0.0,0.0006921766047076315,0.8280335677966218,0.17127425559867046
Rick Crawford,0.4593677740521275,0.04857997083846769,0.4881738694996883,0.0038783856097165835,0.0,0.004020367180134561,0.8839782337320867,0.11200139908777869
French Hill,0.5381410873502547,0.029348131665170137,0.42973353802011544,0.0027772429644598094,0.0,0.003930178029204367,0.8544993071096134,0.1415705148611822
Steve Womack,0.4153680347934182,0.02512451742745416,0.5613770788219828,-0.0018696310428552674,0.0,0.00831083112844465,0.9085808575871088,0.08310831128444651
Bruce Westerman,0.520138089043839,0.04453557934997563,0.4434912188655463,-0.008164887259360903,0.0,0.013578237087453851,0.8868732750279068,0.0995484878846393
Tom Cotton,0.5398465543887567,0.18471291309018778,0.13961891479149785,0.1358216177295577,0.0,0.002189331823888556,0.7340917178771283,0.2637189502989831
John Boozman,0.48127658813129404,0.03844955869089821,0.4308885467825057,0.04938530639530203,0.0,0.011448499365929265,0.8224720832746231,0.16607941735944765
Doug LaMalfa,0.5377929099962385,0.023728273219699142,0.44158906436948964,-0.003110247585427324,0.0,0.03258209611125951,0.8296403367426951,0.13777756714604533
Jared Huffman,0.5123339740219442,0.08704566414700787,0.41428168176450814,-0.013661319933460321,0.0,0.37307165413751303,0.561193017330462,0.06573532853202493
John Garamendi,0.31334893217753784,0.04979920476598573,0.6438451542289815,-0.006993291172505096,0.0,0.3857024071135849,0.58157487619387,0.03272271669254505
Tom McClintock,0.6526874411433425,0.23909997784219952,0.11534750817068892,-0.007134927156230958,0.0,0.0,0.7955020361353277,0.2044979638646723
Mike Thompson,0.3050780317157369,0.08310084515321611,0.60647220716263,0.005348915968417091,0.0,0.09254686673174388,0.883464678201872,0.023988455066384137
Doris Matsui,0.2073616526694661,0.025358990701859627,0.7672756073785243,3.749250149970006e-06,0.0,0.10551126687563245,0.8858047239430362,0.008684009181331293
Ami Bera,0.5013318509491471,0.10265167978994534,0.40880477294826967,-0.012788303687362161,0.0,0.04780351662495411,0.7859830679776088,0.1662134153974371
Paul Cook,0.3090393885778019,0.01143448653636073,0.6772683865606252,0.0022577383252122096,0.0,0.2694362911116129,0.5166704297433582,0.21389327914502898
Jerry McNerney,0.5450489624324907,0.10084449642914811,0.36069005595823667,-0.0065835148198754604,0.0,0.3405071226896448,0.6029781216966325,0.05651475561372279
